UNIDAD ORGANICA;GENERICO;ORDEN;ESPECIFICA;IMPORTE;FACTOR
SUB GERENCIA DE OBRAS PÚBLICAS;4.2.2 AUTORIZACIÓN PARA AMPLIACIÓN DE REDES SUBTERRÁNEAS O CASOS ESPECIALES EN ÁREA DE USO PÚBLICO NO VINCULADOS CON TELECOMUNICACIONES (AGUA, DESAGÜE, ENERGÍA ELÉCTRICA Y GAS NATURAL);1;Derecho de Tramite;54.50;0.0099
SUB GERENCIA DE OBRAS PÚBLICAS;4.2.3 AMPLIACIONES DE AUTORIZACIÓN PARA AMPLIACIÓN DE REDES SUBTERRÁNEAS O CASOS ESPECIALES EN ÁREA DE USO PÚBLICO NO VINCULADOS CON TELECOMUNICACIONES (AGUA, DESAGÜE, ENERGÍA ELÉCTRICA, ETC.);1;Derecho de Tramite;54.50;0.0099
SUB GERENCIA DE OBRAS PÚBLICAS;4.2.6 AUTORIZACIÓN PARA EL TENDIDO DE INFRAESTRUCTURA DE REDES DE DISTRIBUCIÓN DE GAS NATURAL EN ÁREAS Y/O BIENES DE DOMINIO PÚBLICO.;1;Derecho de Tramite;54.50;0.0099
SUB GERENCIA DE OBRAS PÚBLICAS;4.2.10 AUTORIZACIÓN PARA INSTALACIÓN DE INFRAESTRUCTURA  PARA LA PRESTACIÓN DE SERVICIOS PÚBLICOS DE TELECOMUNICACIONES.;1;Derecho de Tramite;54.50;0.0099
SUB GERENCIA DE OBRAS PÚBLICAS;4.2.13 AUTORIZACIÓN DE EJECUCIÓN DE OBRAS DE CONSTRUCCIÓN DE MEJORA E INSTALACIÓN DE MOBILIARIO O INFRAESTRUCTURA URBANA.;1;Derecho de Tramite;221.10;0.0402
SUB GERENCIA DE REGISTRO CIVIL;1.2.3 ALQUILER DE SALÓN DE USOS MULTIPLES PARA BODAS Y OTROS.;1;De lunes a viernes en horas laborales por 30 minutos;65.50;0.011905
SUB GERENCIA DE REGISTRO CIVIL;1.2.4 TRADUCCION DE DOCUMENTOS PARA INSCRIPCIONES;1;Pago por Derecho;478.00;0.086905
SUB GERENCIA DE REGISTRO CIVIL;1.2.5 CONSULTA EN LÍNEA DE VERIFICACIÓN Y AUTENTICACIÓN DE DNI EN RENIEC;1;Pago por Derecho de consulta en línea;7.20;0.00131
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.1 TARJETA DE CONTROL DE SALUD;1;Categoría A ;11.80;0.002143
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.1 TARJETA DE CONTROL DE SALUD;2;Categoría B;4.50;0.00081
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.1 TARJETA DE CONTROL DE SALUD;3;Derecho de pago por Análisis de Laboratorio - Categ, A;31.40;0.005714
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.1 TARJETA DE CONTROL DE SALUD;4;Derecho de pago por Análisis de Laboratorio - Categ, B;31.40;0.005714
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.2 CONTROL O RESELLADO DE TARJETA DE CONTROL DE SALUD;1;Categoria A;11.80;0.002143
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.2 CONTROL O RESELLADO DE TARJETA DE CONTROL DE SALUD;2;Categoria B;6.70;0.001214
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.2 CONTROL O RESELLADO DE TARJETA DE CONTROL DE SALUD;3;Derecho de pago por Análisis de Laboratorio - Categ, A;7.90;0.001429
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.2 CONTROL O RESELLADO DE TARJETA DE CONTROL DE SALUD;4;Derecho de pago por Análisis de Laboratorio - Categ, B;7.90;0.001429
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.3 DUPLICADO DE TARJETA DE CONTROL DE SALUD;1;Categoría A;13.10;0.002381
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.3 DUPLICADO DE TARJETA DE CONTROL DE SALUD;2;Categoría B;6.50;0.00119
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.4 CERTIFICADO MEDICO PRE-NUPCIAL DE SALUD;1;Examen VIH (Virus de Inmune deficiencia Humana);58.90;0.010714
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.4 CERTIFICADO MEDICO PRE-NUPCIAL DE SALUD;2;Sifilis;19.60;0.003571
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.4 CERTIFICADO MEDICO PRE-NUPCIAL DE SALUD;3;Certificado Medico;13.10;0.002381
EQUIPO FUNCIONAL DE SALUD: CONTROL DE LA SALUD;3.1.1.1.7 CERTIFICADO DE CAPACITACIÓN DE MANIPULACIÓN DE ALIMENTOS;1;Derecho de pago;19.60;0.003571
SUB GERENCIA DE OBRAS PRIVADAS;7.1.7 INSPECCIONES TECNICAS OCULARES DIVERSAS;1;Vivienda;58.70;0.010673
SUB GERENCIA DE OBRAS PRIVADAS;7.1.7 INSPECCIONES TECNICAS OCULARES DIVERSAS;2;Comercio ;85.40;0.015533
SUB GERENCIA DE OBRAS PRIVADAS;7.1.7 INSPECCIONES TECNICAS OCULARES DIVERSAS;3;Industria ;117.90;0.021429
SUB GERENCIA DE OBRAS PRIVADAS;7.1.8 CERTIFICADO DOMICILIARIO;1;Pago por el Derecho;19.60;0.003571
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.1  AUTORIZACION PARA EL USO DEL COLISEO CERRADO - INSTITUCIONES PRIVADAS Y/O SIMILARES;1;Derecho de pago por hora: Día: de 6:00 a 18:00 horas ;91.70;0.016667
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.1  AUTORIZACION PARA EL USO DEL COLISEO CERRADO - INSTITUCIONES PRIVADAS Y/O SIMILARES;2;Derecho de pago por hora:Noche: de 18:00 a 23:00 horas ;157.10;0.028571
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.1  AUTORIZACION PARA EL USO DEL COLISEO CERRADO - INSTITUCIONES PRIVADAS Y/O SIMILARES;3;Derecho de pago por comercialización ambulatoria al interior del Coliseo por día. ;6.50;0.00119
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.1  AUTORIZACION PARA EL USO DEL COLISEO CERRADO - PARA INSTITUCIONES PUBLICAS;1;Derecho de pago por hora: Día: de 6:00 a 18:00 horas;65.50;0.011905
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.1  AUTORIZACION PARA EL USO DEL COLISEO CERRADO - PARA INSTITUCIONES PUBLICAS;2;Derecho de pago por hora: Noche: de 18:00 a 23:00 horas;104.80;0.019048
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.3  AUTORIZACION PARA USO DE LOSA DEPORTIVA MULTIFUNCIONAL (CEMENTO) (FULBITO, VOLEIBOL Y BASQUETBOL);1;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES -  Día: de 6:00 a 18:00 horas;26.20;0.004762
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.3  AUTORIZACION PARA USO DE LOSA DEPORTIVA MULTIFUNCIONAL (CEMENTO) (FULBITO, VOLEIBOL Y BASQUETBOL);2;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - Noche: de 18:00 a 24:00 horas;39.30;0.007143
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.3  AUTORIZACION PARA USO DE LOSA DEPORTIVA MULTIFUNCIONAL (CEMENTO) (FULBITO, VOLEIBOL Y BASQUETBOL);3;PARA INSTITUCIONES PUBLICAS -  Día: de 6:00 a 18:00 horas;19.60;0.003571
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.3  AUTORIZACION PARA USO DE LOSA DEPORTIVA MULTIFUNCIONAL (CEMENTO) (FULBITO, VOLEIBOL Y BASQUETBOL);4;PARA INSTITUCIONES PUBLICAS - Noche: de 18:00 a 24:00 horas;32.70;0.005952
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.4  AUTORIZACION PARA USO DE CAMPO DEPORTIVO GRASS SINTETICO;1;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES -  Día: de 6:00 a 18:00 horas ;65.50;0.011905
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.4  AUTORIZACION PARA USO DE CAMPO DEPORTIVO GRASS SINTETICO;2; PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - Noche: de 18:00 a 24:00 horas;91.70;0.016667
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.4  AUTORIZACION PARA USO DE CAMPO DEPORTIVO GRASS SINTETICO;3;PARA INSTITUCIONES PUBLICAS -  Día: de 6:00 a 18:00 horas ;26.20;0.004762
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.4  AUTORIZACION PARA USO DE CAMPO DEPORTIVO GRASS SINTETICO;4;PARA INSTITUCIONES PUBLICAS -  Noche: de 18:00 a 24:00 horas;39.30;0.007143
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.5  AUTORIZACION PARA USO DE LOSA MULTIUSOS (CON MALLA).(FULBITO, VOLEIBOL Y ACTIVIDADES CULTURALES Y SOCIALES);1;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - De lunes a Viernes;19.60;0.003571
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.5  AUTORIZACION PARA USO DE LOSA MULTIUSOS (CON MALLA).(FULBITO, VOLEIBOL Y ACTIVIDADES CULTURALES Y SOCIALES);2;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES -  De Sábado, Domingo y feriados;26.20;0.004762
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.5  AUTORIZACION PARA USO DE LOSA MULTIUSOS (CON MALLA).(FULBITO, VOLEIBOL Y ACTIVIDADES CULTURALES Y SOCIALES);3;PARA INSTITUCIONES PUBLICAS - De lunes a Viernes ;13.10;0.002381
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.5  AUTORIZACION PARA USO DE LOSA MULTIUSOS (CON MALLA).(FULBITO, VOLEIBOL Y ACTIVIDADES CULTURALES Y SOCIALES);4; PARA INSTITUCIONES PUBLICAS -  De Sábado, Domingo y feriados;19.60;0.003571
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.10  AUTORIZACION PARA USO CARPA Y RING DE BOX;1;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - De Lunes a Viernes;39.30;0.007143
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.10  AUTORIZACION PARA USO CARPA Y RING DE BOX;2;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - De Sábado, Domingo y feriados ;65.50;0.011905
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.10  AUTORIZACION PARA USO CARPA Y RING DE BOX;3;PARA INSTITUCIONES PUBLICAS -  De Lunes a Viernes;26.20;0.004762
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.10  AUTORIZACION PARA USO CARPA Y RING DE BOX;4;PARA INSTITUCIONES PUBLICAS- De Sábado, Domingo y feriados ;39.30;0.007143
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;1;CAFETINES - Area 20m2;209.50;0.038095
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;2;CAFETINES - Area 42.16m2;419.00;0.07619
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;3;CAFETINES - Area 30m2 ;301.20;0.054762
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;4; Oficina (Area 38.76m2 );392.90;0.071429
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;5; Oficina (Area 32m2 );314.30;0.057143
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;6; Oficina (Area 14.95m2 ) ;157.10;0.028571
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;7; Oficina (Area 77.61m2 ) ;654.80;0.119048
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.12  CONCESIÓN DE CAFETINES Y OFICINAS DEL COMPLEJO DEPORTIVO DE CASUARINAS;8; Oficina (Area 37.52m2 )  ;392.90;0.071429
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CASUARINAS;4.1.1.13  CONCESIÓN DE LOS SS.HH DEL COMPLEJO DEPORTIVO DE CASUARINAS.;1;Concesión por mes ;131.00;0.02381
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);1;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES -  Día: de 6:00 a 18:00 horas;65.50;0.011905
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);2; PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - Noche: de 18:00 a 23:00 horas;104.80;0.019048
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);3;PARA INSTITUCIONES PUBLICAS -  Día: de 6:00 a 18:00 horas;52.40;0.009524
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);4; PARA INSTITUCIONES PUBLICAS - Noche: de 18:00 a 23:00 horas ;91.70;0.016667
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);5;PARA CLUBES DEPORTIVOS DEL DISTRITO -  Día: de 6:00 a 18:00 horas ;39.30;0.007143
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);6;PARA CLUBES DEPORTIVOS DEL DISTRITO - Noche: de 18:00 a 23:00 horas  ;65.50;0.011905
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);7;PARA CLUBES DEPORTIVOS DE LA PROVINCIA O LA REGION -  Día: de 6:00 a 18:00 horas ;65.50;0.011905
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);8;PARA CLUBES DEPORTIVOS DE LA PROVINCIA O LA REGION - Noche: de 18:00 a 23:00 horas  ;78.60;0.014286
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);9;PUBLICO EN GENERAL: Por turno: Niños;1.30;0.000238
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);10;PUBLICO EN GENERAL: Por turno: Adultos;2.60;0.000476
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);11;PUBLICO EN GENERAL: Por turno: Escolares;1.30;0.000238
SUB GERENCIA DE DEPORTE Y JUVENTUD - COMPLEJO DEPORTIVO CESAR CUETO VILLA;4.1.2.1 AUTORIZACION PARA EL USO DEL COMPLEJO DEPORTIVO CESAR CUETO.  (CAMPO DE FUTBOL DE 90M POR 60M CON CAPACIDAD PARA 2000 ESPECTADORES);12;Derecho de pago por comercialización ambulatoria en interior  ;6.50;0.00119
SUB GERENCIA DE DEPORTE Y JUVENTUD - POLIDEPORTIVO PILAR NORES;4.1.3.1  AUTORIZACION PARA USO DE CAMPO DE FULBITO GRASS SINTETICO;1;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - Día: de 6:00 a 18:00 horas;26.20;0.004762
SUB GERENCIA DE DEPORTE Y JUVENTUD - POLIDEPORTIVO PILAR NORES;4.1.3.1  AUTORIZACION PARA USO DE CAMPO DE FULBITO GRASS SINTETICO;2;PARA INSTITUCIONES PUBLICAS - Día: de 6:00 a 18:00 horas;19.60;0.003571
SUB GERENCIA DE DEPORTE Y JUVENTUD - POLIDEPORTIVO PILAR NORES;4.1.3.6  AUTORIZACION PARA EL USO DE CAMPO DE FRONTON;1;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - De lunes a Viernes ;13.10;0.002381
SUB GERENCIA DE DEPORTE Y JUVENTUD - POLIDEPORTIVO PILAR NORES;4.1.3.6  AUTORIZACION PARA EL USO DE CAMPO DE FRONTON;2;PARA INSTITUCIONES PRIVADAS Y/O SIMILARES - De Sábado, Domingo y feriado  ;26.20;0.004762
SUB GERENCIA DE DEPORTE Y JUVENTUD - POLIDEPORTIVO PILAR NORES;4.1.3.6  AUTORIZACION PARA EL USO DE CAMPO DE FRONTON;3;PARA INSTITUCIONES PUBLICASS - De lunes a Viernes  ;6.50;0.00119
SUB GERENCIA DE DEPORTE Y JUVENTUD - POLIDEPORTIVO PILAR NORES;4.1.3.6  AUTORIZACION PARA EL USO DE CAMPO DE FRONTON;4;PARA INSTITUCIONES PUBLICAS - De Sábado, Domingo y feriado   ;19.60;0.003571
SUB GERENCIA  DE ECOLOGIA Y MEDIO AMBIENTE;5.2.2.1  AUTORIZACION ANUAL POR USO DEL RELLENO SANITARIO (PAMPA LA CARBONERA) - (POR UN AÑO);1;PERMISO DE AUTORIZACION: Derecho de Pago (Anual) ;771.00;0.140187
SUB GERENCIA  DE ECOLOGIA Y MEDIO AMBIENTE;5.2.2.1  AUTORIZACION ANUAL POR USO DEL RELLENO SANITARIO (PAMPA LA CARBONERA) - (POR UN AÑO);2;DEPOSITO DE RESIDUOS SOLIDOS: Derecho de Pago por tonelada ;25.70;0.004673
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;1;Formato A0 - Color;39.30;0.007143
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;2;Formato A1 - Color ;32.70;0.005952
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;3;Formato A2 - Color ;26.20;0.004762
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;4;Formato A3 - Color ;19.60;0.003571
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;5;Formato A4 - Color ;9.20;0.001667
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;6;Formato A0 - B/N;26.20;0.004762
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;7;Formato A1 - B/N ;19.60;0.003571
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;8;Formato A2 - B/N ;13.60;0.002466
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;9;Formato A3 - B/N ;9.20;0.001667
SUB GERENCIA DE OBRAS PRIVADAS;7.1.6  IMPRESIÓN Y/O COPIAS DE PLANOS.;10;Formato A4 - B/N ;6.50;0.00119
SUB GERENCIA DE OBRAS PRIVADAS;7.1.10  OCUPACIÓN Y/O INTERFERENCIA DE LA VÍA PÚBLICA CON MATERIALES DE CONSTRUCCIÓN, DESMONTE U OTROS. (POR DÍA);1;Ocupación con materiales de construcción ;52.40;0.009524
SUB GERENCIA DE OBRAS PRIVADAS;7.1.10  OCUPACIÓN Y/O INTERFERENCIA DE LA VÍA PÚBLICA CON MATERIALES DE CONSTRUCCIÓN, DESMONTE U OTROS. (POR DÍA);2;Ocupación con equipos, maquinaria y otros afines ;91.70;0.016667
SUB GERENCIA DE SEPARACION CONVENCIONAL Y DIVORCIO RAPIDO;1.4.2 DIVORCIO ULTERIOR;1;Derecho de Tramite;36.90;0.0067
SUB GERENCIA DE REGISTRO CIVIL;1.3.1 MATRIMONIO ORDINARIO  ;10;Derecho de tramite - Matrimonio Ordinario;100.70;0.0183
SUB GERENCIA  DE ECOLOGIA Y MEDIO AMBIENTE;7.1.5 CONSTANCIA DE PARTICIPACION EN EL PROGRAMA DE SEGREGACION EN LA FUENTE Y RECOLECCION SELECTIVA DE RESIDUOS SOLIDOS REAPROVECHABLES.;1;Derecho de Tramite;9.40;0.0017
GERENCIA DE EJECUCION COACTIVA;2.3.2 SUSPENSIÓN DE COBRANZA COACTIVA.;1;Derecho de Tramite;34.10;0.0062
GERENCIA DE EJECUCION COACTIVA;2.3.3 LEVANTAMIENTO DE EMBARGO;1;Derecho de Tramite;47.30;0.0086
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.2 LICENCIA DE HABILITACION URBANA - MODALIDAD B (APROB. PROY.  EVAL. MUNIC.);1;Derecho de Tramite;319.00;0.058
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.2 LICENCIA DE HABILITACION URBANA - MODALIDAD B (APROB. PROY.  EVAL. MUNIC.);2;verificacion Tecnica;203.50;0.037
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.4 LICENCIA DE HABILITACION URBANA MODALIDAD C O D (APROB. PROY. EVAL. REVISORES URBANO);1;Derecho de Tramite;382.80;0.0696
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.4 LICENCIA DE HABILITACION URBANA MODALIDAD C O D (APROB. PROY. EVAL. REVISORES URBANO);2;Verificacion Tecnica;231.00;0.042
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.5 LICENCIA DE HABILITACION URBANA MODALIDAD C (APROB. PROY. EVAL. COMIS. TEC);1;Derecho de Tramite;828.30;0.1506
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.5 LICENCIA DE HABILITACION URBANA MODALIDAD C (APROB. PROY. EVAL. COMIS. TEC);2;Verificacion Tecnica;231.00;0.042
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.6 LICENCIA DE HABILITACION URBANA MODALIDAD D (APROB. PROY. EVAL. COMIS. TEC);1;Derecho de Tramite;1,103.90;0.2007
SUB GERENCIA DE OBRAS PRIVADAS;4.1.1.6 LICENCIA DE HABILITACION URBANA MODALIDAD D (APROB. PROY. EVAL. COMIS. TEC);2;Verificacion Tecnica;484.00;0.088
SUB GERENCIA DE OBRAS PRIVADAS;4.1.2.4 MODIFICACIÓN DEL PROYECTO HABILITACIÓN URBANA MODALIDAD C Y D (APROB. PROY. EVAL. COMIS. TEC);1;Derecho de Tramite;266.20;0.0484
SUB GERENCIA DE OBRAS PRIVADAS;4.1.3.1 RECEPCIÓN DE OBRAS DE HABILITACIÓN URBANA SIN VARIACIONES. PARA TODAS LAS MODALIDADES A, B,   C Y D  (CON APROB. REVIS. URBANOS);1;Derecho de Tramite;478.00;0.0869
SUB GERENCIA DE OBRAS PRIVADAS;4.1.3.2 RECEPCIÓN DE OBRAS DE HABILITACIÓN URBANA SIN VARIACIONES. PARA TODAS LAS MODALIDADES B, C Y D (CON APROB. COMIS. TEC.);1;Derecho de Tramite;611.10;0.1111
SUB GERENCIA DE OBRAS PRIVADAS;4.1.3.3 RECEPCIÓN DE OBRAS DE HABILITACIÓN URBANA CON VARIACIONES QUE IMPLICAN MODIFICACIONES NO SUSTANCIALES.  PARA TODAS LAS MODALIDADES A, B, C Y D  (CON APROB. REVIS. URBANOS);1;Derecho de Tramite;594.60;0.1081
